#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 277126:5107 | 07/22/16 01:36:48 | 18   | 18   | 4452069.029    | 1962824.889   |
| 277127:5107 | 07/22/16 01:46:10 | 901  | 901  | 189599164.609  | 182257216.654 |
| 277148:5108 | 07/22/16 10:31:04 | 616  | 616  | 133265439.082  | 127512886.524 |
| 277166:5109 | 07/22/16 18:10:23 | 354  | 354  | 73922892.608   | 70227053.645  |
| 277168:5109 | 07/22/16 20:34:53 | 2220 | 2220 | 325553686.305  | 313925440.224 |
| 277180:5110 | 07/23/16 13:37:57 | 141  | 141  | 33377632.071   | 30967461.723  |
| 277194:5111 | 07/23/16 18:25:08 | 1938 | 1938 | 381129676.478  | 362103439.491 |
| 277305:5116 | 07/25/16 01:23:14 | 683  | 683  | 168539479.763  | 159472337.048 |
| 277420:5117 | 07/25/16 19:44:15 | 261  | 261  | 67186555.235   | 63187371.399  |
| 277981:5151 | 08/01/16 11:52:59 | 81   | 76   | 5425928.060    | 4676594.871   |
| 277991:5151 | 08/01/16 15:43:56 | 98   | 90   | 5836577.791    | 4812876.174   |
| 277992:5151 | 08/01/16 16:22:25 | 311  | 311  | 18029702.523   | 17132854.198  |
| 278017:5154 | 08/01/16 23:26:43 | 510  | 510  | 134837133.416  | 127722692.686 |
| 278018:5154 | 08/02/16 02:52:01 | 1156 | 1156 | 228923702.548  | 218009433.129 |
| 278167:5161 | 08/03/16 18:39:02 | 2167 | 2167 | 333820970.346  | 319980934.150 |
| 278175:5161 | 08/04/16 08:44:58 | 88   | 88   | 9365675.008    | 9130917.188   |
| 278193:5162 | 08/04/16 12:31:44 | 155  | 155  | 36812805.931   | 35040728.640  |
| 278239:5163 | 08/04/16 23:23:01 | 662  | 662  | 143395898.274  | 134765422.763 |
| 278240:5163 | 08/05/16 03:46:54 | 1300 | 1300 | 208014404.854  | 199697794.472 |
| 278273:5169 | 08/05/16 17:37:20 | 36   | 36   | 7313201.539    | 5979166.027   |
| 278274:5169 | 08/05/16 17:55:42 | 84   | 84   | 19700638.605   | 18360833.834  |
| 278288:5170 | 08/05/16 21:11:12 | 15   | 15   | 3808223.186    | 2927768.931   |
| 278289:5170 | 08/05/16 21:18:02 | 51   | 51   | 11435719.120   | 9639468.243   |
| 278290:5170 | 08/05/16 21:42:34 | 11   | 11   | 2657188.578    | 2461297.904   |
| 278308:5173 | 08/06/16 13:00:39 | 1740 | 1740 | 343233638.974  | 326826133.974 |
| 278310:5173 | 08/07/16 00:47:36 | 708  | 708  | 92050149.928   | 89112969.210  |
| 278315:5179 | 08/07/16 10:56:52 | 693  | 693  | 151122517.262  | 138806801.158 |
| 278345:5181 | 08/08/16 00:13:39 | 746  | 746  | 170298884.756  | 156497179.255 |
| 278346:5181 | 08/08/16 05:08:15 | 117  | 117  | 23123775.008   | 22012366.812  |
| 278349:5181 | 08/08/16 06:27:06 | 613  | 613  | 100400535.467  | 95989463.196  |
| 278366:5181 | 08/08/16 10:36:47 | 453  | 453  | 62282459.708   | 60087716.112  |
| 278406:5183 | 08/08/16 17:15:50 | 1597 | 1597 | 316453692.073  | 300275697.928 |
| 278509:5187 | 08/09/16 18:29:15 | 1467 | 1467 | 297560213.569  | 276005818.416 |
| 278769:5197 | 08/13/16 06:38:56 | 30   | 30   | 7963666.569    | 7351673.691   |
| 278770:5197 | 08/13/16 06:54:00 | 767  | 767  | 173591397.227  | 166317146.031 |
| 278801:5198 | 08/13/16 14:43:37 | 38   | 38   | 10256051.900   | 7894232.782   |
| 278802:5198 | 08/13/16 15:01:05 | 17   | 17   | 4133534.189    | 1756547.967   |
| 278803:5198 | 08/13/16 15:10:53 | 318  | 318  | 78368178.308   | 72455806.529  |
| 278804:5198 | 08/13/16 17:20:06 | 4    | 4    | 922454.126     | 755907.711    |
| 278805:5198 | 08/13/16 17:23:57 | 274  | 274  | 59744231.372   | 56041066.460  |
| 278808:5198 | 08/13/16 19:25:19 | 1791 | 1791 | 282066594.504  | 271563109.774 |
| 278820:5199 | 08/14/16 11:00:51 | 1517 | 1517 | 301218809.703  | 289334956.582 |
| 278822:5199 | 08/14/16 21:52:47 | 1627 | 1627 | 197674825.035  | 191510590.608 |
| 278873:5205 | 08/15/16 23:25:45 | 60   | 60   | 11655652.757   | 2093075.500   |
| 278874:5205 | 08/15/16 23:51:53 | 477  | 477  | 89019346.059   | 83715111.008  |
| 278875:5205 | 08/16/16 03:01:20 | 833  | 833  | 122508865.043  | 117064918.761 |
| 278923:5206 | 08/16/16 12:16:32 | 413  | 413  | 104502434.952  | 100063523.754 |
| 278957:5209 | 08/16/16 21:31:36 | 149  | 149  | 38315818.364   | 36728139.345  |
| 278962:5210 | 08/17/16 01:08:31 | 341  | 341  | 85479057.106   | 79444244.359  |
| 278963:5210 | 08/17/16 03:24:57 | 174  | 174  | 40274053.738   | 38716093.678  |
| 278969:5211 | 08/17/16 07:16:52 | 1386 | 1386 | 299529672.712  | 286500859.555 |
| 278975:5211 | 08/17/16 16:23:16 | 848  | 848  | 126935006.341  | 121213300.606 |
| 278976:5211 | 08/17/16 21:58:16 | 20   | 20   | 2676380.559    | 2575870.194   |
| 278986:5213 | 08/18/16 04:02:59 | 129  | 129  | 34128893.344   | 31993378.901  |
| 279024:5219 | 08/18/16 22:31:53 | 301  | 301  | 52677578.998   | 50033382.714  |
| 279029:5219 | 08/19/16 02:19:40 | 260  | 260  | 40283193.143   | 38291983.547  |
| 279071:5222 | 08/19/16 15:40:07 | 174  | 174  | 23799329.329   | 22881910.911  |
| 279080:5223 | 08/19/16 22:42:50 | 157  | 157  | 13415742.830   | 12940899.664  |
| 279115:5229 | 08/20/16 22:08:09 | 407  | 407  | 88634187.675   | 85298183.420  |
| 279116:5229 | 08/21/16 01:36:03 | 448  | 448  | 95365687.099   | 91508475.870  |
| 279479:5247 | 08/25/16 04:33:24 | 105  | 105  | 6366274.874    | 6023262.566   |
| 279588:5251 | 08/25/16 21:08:11 | 1160 | 1160 | 240248634.485  | 231777693.816 |
| 279653:5253 | 08/26/16 14:05:52 | 181  | 181  | 45754480.231   | 44093648.348  |
| 279654:5253 | 08/26/16 15:21:58 | 1245 | 1245 | 251091045.586  | 242983573.092 |
| 279656:5253 | 08/26/16 23:49:40 | 43   | 43   | 6773019.444    | 5717517.538   |
